site_name,interface,ip_address,provider_name,ip_assignment_status,circuit_type
CAS 48,WAN1,47.180.235.173,Frontier Communications,static,Non-DSR
CAS 49,WAN1,76.53.67.30,Spectrum,static,DSR
CAS 50,WAN1,47.181.172.127,EB2-Frontier Fiber,static,DSR
CAS 50,WAN2,47.180.196.75,GTT Ethernet,static,DSR
CAS 51,WAN1,68.15.20.182,Cox Business/BOI,static,Non-DSR
CAS 51,WAN2,76.199.106.113,AT&T Broadband II,static,DSR
CAS 53,WAN1,75.60.234.33,AT&T Broadband II,static,DSR
CAS 53,WAN2,174.77.167.8,Cox Business/BOI,static,DSR
COB 01,WAN1,50.211.228.33,Comcast Workplace,static,DSR
COB 01,WAN2,67.40.41.89,EB2-Centurylink DSL,static,DSR
COD 01,WAN1,96.78.2.33,Comcast,static,DSR
COD 02,WAN1,96.76.171.13,Comcast Workplace,static,DSR
COD 03,WAN1,96.75.122.169,Comcast,static,DSR
COD 04,WAN1,50.190.67.161,Comcast Workplace,static,DSR
COD 05,WAN1,70.89.171.173,Comcast Workplace,static,DSR
COD 06,WAN1,63.231.93.145,CenturyLink,static,Non-DSR
COD 07,WAN1,50.214.21.189,Comcast Workplace,static,DSR
COD 08,WAN1,96.75.124.5,Comcast,static,DSR
COD 09,WAN1,96.75.102.5,Comcast,static,DSR
COD 10,WAN1,50.190.70.173,Comcast Workplace,static,DSR
COD 11,WAN1,75.145.115.1,Comcast Workplace,static,DSR
COD 13,WAN1,96.76.170.93,Comcast,static,DSR
COD 14,WAN1,50.246.194.125,Comcast Workplace,static,DSR
COD 15,WAN1,96.90.174.117,Comcast,static,Non-DSR
COD 17,WAN1,96.76.168.233,Comcast,static,Non-DSR
COD 18,WAN1,50.190.87.25,Comcast Workplace,static,DSR
COD 19,WAN1,63.239.214.18,CenturyLink,static,Non-DSR
COD 20,WAN1,96.78.4.81,Comcast Workplace,static,DSR
COD 21,WAN1,50.211.254.149,Comcast Workplace,static,DSR
COD 21,WAN2,63.229.227.41,CenturyLink,static,Non-DSR
COD 22,WAN1,74.92.221.65,"Comcast Cable Communications, LLC",static,Non-DSR
COD 23,WAN1,50.209.236.229,Comcast,static,Non-DSR
COD 23,WAN2,67.40.43.129,EB2-Lumen DSL,static,DSR
COD 24,WAN1,96.69.179.121,Comcast Workplace,static,DSR
COD 25,WAN1,50.242.141.237,Comcast Workplace,static,DSR
COD 25,WAN2,67.40.41.177,EB2-Centurylink DSL,static,DSR
COD 26,WAN1,96.66.88.141,Comcast Workplace,static,DSR
COD 26,WAN2,63.229.239.225,EB2-Centurylink DSL,static,DSR
COD 27,WAN1,50.189.36.57,Comcast Workplace,static,DSR
COD 28,WAN1,50.194.145.129,Comcast Workplace,static,DSR
COD 28,WAN2,12.109.239.26,AT&T,static,Non-DSR
COD 29,WAN1,173.8.235.101,Comcast Workplace,static,DSR
COD 30,WAN1,50.214.12.145,Comcast Workplace,static,DSR
COD 31,WAN1,192.190.112.119,MallCom Networks,static,DSR
COD 32,WAN1,96.87.43.105,Comcast Workplace,static,DSR
COD 32,WAN2,63.227.119.113,CenturyLink,static,Non-DSR
COD 34,WAN1,65.103.115.121,CenturyLink,static,Non-DSR
COD 35,WAN1,96.66.73.17,Comcast Workplace,static,DSR
COD 35,WAN2,66.185.98.122,LiveWire Net,static,DSR
COD 36,WAN1,50.189.32.85,Comcast Workplace,static,DSR
COD 36,WAN2,67.41.196.217,CenturyLink,static,Non-DSR
COD 37,WAN1,50.246.196.57,Comcast Workplace,static,DSR
COD 38,WAN1,63.229.225.1,CenturyLink,static,Non-DSR
COD 39,WAN1,96.84.240.97,Comcast Workplace,static,DSR
COD 40,WAN1,71.24.134.221,Comcast Workplace,static,DSR
COD 41,WAN1,65.56.84.242,Lumen,static,DSR
COD 42,WAN1,23.24.156.189,Comcast Workplace,static,DSR
COG 01,WAN1,69.145.255.206,Spectrum,static,DSR
COG 01,WAN2,67.40.42.209,EB2-Centurylink DSL,static,DSR
Cog 02,WAN1,50.198.210.201,Comcast,static,DSR
Cog 02,WAN2,74.114.7.176,Community Broadband Network,static,Non-DSR
COG 03,WAN1,47.47.138.238,Spectrum,static,DSR
CON 02,WAN1,50.250.132.165,Comcast Workplace,static,DSR
CON 03,WAN1,198.99.82.203,FORT COLLINS CONNEXION,static,DSR
CON 03,WAN2,70.89.171.149,Comcast Workplace,static,DSR
COP 02,WAN1,50.198.220.193,Comcast Workplace,static,DSR
COP 03,WAN1,173.164.56.61,Comcast Workplace,static,DSR
COP 03,WAN2,63.231.99.233,EB2-Centurylink DSL,static,DSR
COS 01,WAN1,50.211.225.225,Comcast Workplace,static,DSR
COS 02,WAN1,96.75.127.77,Comcast Workplace,static,DSR
