Site Name,Current WAN1,Future WAN1,WAN1 Change,Current WAN2,Future WAN2,WAN2 Change,Fix Type
FP-iSeries-ATL,nUnknown (),Unknown (),✓ CHANGED,(empty),(empty),,Provider Name Fix
FP-iSeries-DAL,nUnknown (),Unknown (),✓ CHANGED,(empty),(empty),,Provider Name Fix
FP-iSeries-DAL,nUnknown (),Unknown (),✓ CHANGED,(empty),(empty),,Provider Name Fix
GAA_00,nAT&T n (1000.0M x 1000.0M),AT&T (1000.0M x 1000.0M),✓ CHANGED,nComcast n (750.0M x 35.0M),Comcast (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 01,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 05,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 06,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 07,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 10,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast n (300.0M x 30.0M),Comcast (300.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 11,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 12,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
