site_name,site_id,circuit_purpose,dsr_provider,dsr_speed,dsr_cost,dsr_ip,meraki_wan1_provider,wan1_ip,wan1_arin_provider,meraki_wan2_provider,wan2_ip,wan2_arin_provider,current_match,normalized_dsr_provider,normalized_wan1_arin,normalized_wan2_arin,wan1_arin_matches_dsr,wan2_arin_matches_dsr
FLJ 02,FLJ 02 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,76.250.234.65,Comcast Workplace,96.71.102.189,Comcast,AT&T Broadband II,76.250.234.65,AT&T,WAN2,at&t,comcast,at&t,No,Yes
FLJ 03,FLJ 03,Primary,Comcast Workplace,300.0M x 30.0M,175.56,50.184.244.137,Comcast Workplace,50.184.244.137,Comcast,AT&T Broadband II,108.231.209.217,AT&T,WAN1,comcast,comcast,at&t,Yes,No
FLJ 03,FLJ 03 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,108.231.209.217,Comcast Workplace,50.184.244.137,Comcast,AT&T Broadband II,108.231.209.217,AT&T,WAN2,at&t,comcast,at&t,No,Yes
FLJ 05,FLJ 05,Primary,Comcast Workplace,300.0M x 30.0M,175.56,50.184.244.141,Comcast Workplace,50.184.244.141,Comcast,AT&T Broadband II,104.48.126.249,AT&T,WAN1,comcast,comcast,at&t,Yes,No
FLJ 05,FLJ 05 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,104.48.126.249,Comcast Workplace,50.184.244.141,Comcast,AT&T Broadband II,104.48.126.249,AT&T,WAN2,at&t,comcast,at&t,No,Yes
FLJ 06,FLJ 06,Primary,Comcast Workplace,600.0M x 35.0M,234.45,96.65.55.85,AT&T Broadband II,76.237.130.241,AT&T,Comcast Workplace,96.65.55.85,Comcast,WAN2,comcast,at&t,comcast,No,Yes
FLJ 06,FLJ 06- B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,76.237.130.241,AT&T Broadband II,76.237.130.241,AT&T,Comcast Workplace,96.65.55.85,Comcast,WAN1,at&t,at&t,comcast,Yes,No
FLJ 07,FLJ 07,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.215.195.161,Comcast Workplace,50.215.195.161,Comcast,AT&T Broadband II,104.189.160.121,AT&T,WAN1,comcast,comcast,at&t,Yes,No
FLJ 07,FLJ 07 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,104.189.160.121,Comcast Workplace,50.215.195.161,Comcast,AT&T Broadband II,104.189.160.121,AT&T,WAN2,at&t,comcast,at&t,No,Yes
FLJ 09,FLJ 09,Primary,Comcast Workplace,300.0M x 30.0M,175.56,173.8.36.41,AT&T Broadband II,99.27.29.17,AT&T,Comcast Workplace,173.8.36.41,Cisco Test,WAN2,comcast,at&t,cisco,No,No
FLJ 09,FLJ 09 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,99.27.29.17,AT&T Broadband II,99.27.29.17,AT&T,Comcast Workplace,173.8.36.41,Cisco Test,WAN1,at&t,at&t,cisco,Yes,No
FLJ 10,FLJ 10,Primary,Comcast Workplace,600.0M x 35.0M,234.45,96.71.98.25,Comcast Workplace,96.71.98.25,Comcast,AT&T Broadband II,76.250.236.129,AT&T,WAN1,comcast,comcast,at&t,Yes,No
FLJ 10,FLJ 10 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,76.250.236.129,Comcast Workplace,96.71.98.25,Comcast,AT&T Broadband II,76.250.236.129,AT&T,WAN2,at&t,comcast,at&t,No,Yes
FLJ 11,FLJ 11,Primary,AT&T Broadband II,500.0M x 100.0M,215.02,99.14.160.169,AT&T Broadband II,99.14.160.169,AT&T,Digi,192.168.2.141,Private IP,WAN1,at&t,at&t,private,Yes,No
FLJ 12,FLJ 12,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,99.27.27.169,AT&T Broadband II,99.27.27.169,AT&T,Comcast Workplace,74.93.175.77,Comcast,WAN1,at&t,at&t,comcast,Yes,No
FLJ 12,FLJ 12-B,Secondary,Comcast Workplace,600.0M x 35.0M,234.45,74.93.175.77,AT&T Broadband II,99.27.27.169,AT&T,Comcast Workplace,74.93.175.77,Comcast,WAN2,comcast,at&t,comcast,No,Yes
FLM 01,FLM 01,Primary,Spectrum,600.0M x 35.0M,244.45,75.112.40.218,Spectrum,75.112.40.218,Charter Communications,AT&T Broadband II,162.239.27.17,AT&T,WAN1,spectrum,spectrum,at&t,Yes,No
FLM 01,FLM 01 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,162.239.27.17,Spectrum,75.112.40.218,Charter Communications,AT&T Broadband II,162.239.27.17,AT&T,WAN2,at&t,spectrum,at&t,No,Yes
