Site Name,Interface,Status,DSR Provider,ARIN Provider,Match,Action Taken
INI 15,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
INI 16,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
INJ 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
INN 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
INW 02,WAN1,MATCH,Comcast,Comcast,Yes,Updated
INW 03,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
KSK_00,WAN1,MATCH,Charter Communications,Charter Communications,Yes,Updated
KSK 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
KSK 05,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
KSK 06,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
KSL 01,WAN1,MATCH,Midcontinent,Midcontinent Communications,Yes,Updated
KSM 01,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
KSM 02,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
KST 01,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
KSW 02,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
KSW 03,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
KYB 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
KYL 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
KYL 03,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
LAS 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
LAS 03,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
MIA 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MIA 04,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MIA 16,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MIAC02,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
MID 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MID 04,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MID 06,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MID 10,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
