Site Name,Circuit Purpose,Status,IP Address,Circuits Table Provider,Circuits Table Speed,Enriched Network Name,Enriched Provider,Enriched Speed,DSR Provider,DSR Speed,Has Meraki Notes,Notes Preview
AZP 16,Secondary,No Service Available,NaN,NaN,,AZP 16,Digi,Cell,,,Yes,"WAN 1
Cox Business/BOI
500.0M x 35.0M
WAN 2
Digi
Cell..."
AZP 17,Primary,Enabled,24.248.0.187,Cox Business/BOI,300.0M x 30.0M,AZP 17,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
VZW Cell
Cell..."
AZP 17,Secondary,No Service Available,NaN,NSA,,AZP 17,VZW Cell,Cell,,,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
VZW Cell
Cell..."
AZP 18,Primary,Enabled,184.181.22.14,Cox Business/BOI,300.0M x 30.0M,AZP 18,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
EB2-CenturyLink DSL
80.0M x 10.0M..."
AZP 18,Secondary,Enabled,67.40.67.153,EB2-CenturyLink DSL,80.0M x 10.0M,AZP 18,EB2-CenturyLink DSL,80.0M x 10.0M,EB2-CenturyLink DSL,80.0M x 10.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
EB2-CenturyLink DSL
80.0M x 10.0M..."
AZP 19,Primary,Enabled,184.190.7.139,Cox Business/BOI,300.0M x 30.0M,AZP 19,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Business/BOI
300.0M x 30.0M
WAN 2
Digi
Cell..."
AZP 19,Secondary,Order Canceled,NaN,NaN,,AZP 19,Digi,Cell,,,Yes,"WAN 1
Cox Business/BOI
300.0M x 30.0M
WAN 2
Digi
Cell..."
AZP 20,Primary,Enabled,208.77.60.230,Saddleback Communications,300.0M x 80.0M,AZP 20,Saddleback Communications,300.0M x 80.0M,Saddleback Communications,300.0M x 80.0M,Yes,"WAN 1
Saddleback Communications
300.0M x 30.0M
WAN 2
VZW Cell
Cell..."
AZP 20,Secondary,No Service Available,NaN,NSA,,AZP 20,VZW Cell,Cell,,,Yes,"WAN 1
Saddleback Communications
300.0M x 30.0M
WAN 2
VZW Cell
Cell..."
AZP 21,Primary,Enabled,68.14.227.137,Cox Business/BOI,100.0M x 20.0M,AZP 21,Cox Business/BOI,100.0M x 20.0M,Cox Business/BOI,100.0M x 20.0M,Yes,"WAN 1
Cox Business BOI
100.0M x 20.0M
WAN 2
CenturyLink
80.0M x 10.0M..."
AZP 21,Secondary,Enabled,67.42.35.209,CenturyLink/Embarq,80.0M x 10.0M,AZP 21,CenturyLink,80.0M x 10.0M,CenturyLink/Embarq,80.0M x 10.0M,Yes,"WAN 1
Cox Business BOI
100.0M x 20.0M
WAN 2
CenturyLink
80.0M x 10.0M..."
AZP 22,Primary,Enabled,70.177.10.244,Cox Business/BOI,300.0M x 30.0M,AZP 22,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Business/BOI
300.0M x 30.0M
WAN 2
EB2-Centurylink DSL
100.0M x 10.0M..."
AZP 22,Secondary,Enabled,65.103.195.225,EB2-Centurylink DSL,100.0M x 10.0M,AZP 22,EB2-Centurylink DSL,100.0M x 10.0M,EB2-Centurylink DSL,100.0M x 10.0M,Yes,"WAN 1
Cox Business/BOI
300.0M x 30.0M
WAN 2
EB2-Centurylink DSL
100.0M x 10.0M..."
