site_id,site_name,primary_provider,primary_ip,primary_bandwidth
COS 03,COS 03,Comcast Workplace,50.211.247.101,250.0M x 25.0M
COS 04,COS 04,CenturyLink Fiber Plus,65.155.48.154,500.0M x 500.0M
COS 05,COS 05,Comcast Workplace,96.87.56.41,250.0M x 25.0M
COS 06,COS 06,Comcast Workplace,96.93.223.105,600.0M x 35.0M
COS 07,COS 07,Comcast Workplace,50.185.12.249,600.0M x 35.0M
COW 01,COW 01,Spectrum,47.47.165.38,940.0M x 35.0M
COW 02,COW 02,Elevate Internet,209.206.74.50,1000.0M x 1000.0M
FLD 01,FLD 01,AT&T Broadband II,104.12.114.233,1000.0M x 1000.0M
FLD 02,FLD 02,Spectrum,75.112.34.214,600.0M x 35.0M
FLD 04,FLD 04,Spectrum,67.9.119.254,600.0M x 35.0M
FLF 01,FLF 01,Comcast Workplace,23.31.180.221,600.0M x 35.0M
FLG 01,FLG 01,Cox Business/BOI,70.171.147.187,300.0M x 30.0M
FLG 02,FLG 02,Cox Business/BOI,184.180.146.204,300.0M x 30.0M
FLG 03,FLG 03,AT&T Broadband II,76.250.234.25,1000.0M x 1000.0M
FLJ 00,FLJ 00,Comcast Workplace,96.76.16.49,300.0M x 30.0M
FLJ 01,FLJ 01,Comcast Workplace,74.93.170.109,600.0M x 35.0M
FLJ 02,FLJ 02,Comcast Workplace,96.71.102.189,300.0M x 30.0M
FLJ 03,FLJ 03,Comcast Workplace,50.184.244.137,300.0M x 30.0M
FLJ 05,FLJ 05,Comcast Workplace,50.184.244.141,300.0M x 30.0M
FLJ 06,FLJ 06,Comcast Workplace,96.65.55.85,600.0M x 35.0M
FLJ 07,FLJ 07,Comcast Workplace,50.215.195.161,600.0M x 35.0M
FLJ 09,FLJ 09,Comcast Workplace,173.8.36.41,300.0M x 30.0M
FLJ 10,FLJ 10,Comcast Workplace,96.71.98.25,600.0M x 35.0M
FLJ 11,FLJ 11,AT&T Broadband II,99.14.160.169,500.0M x 100.0M
FLJ 12,FLJ 12,AT&T Broadband II,99.27.27.169,1000.0M x 1000.0M
FLM 01,FLM 01,Spectrum,75.112.40.218,600.0M x 35.0M
FLM 02,FLM 02,Spectrum,71.41.210.34,600.0M x 35.0M
